,GRAPH,NODE,DIM,K,TIME
1,burma14 ,14,3211264,0.000000761236074019451,2.44056064
2,ulysses16 ,16,16777216,0.000000873059034347534,12.75068416
3,ulysses22 ,22,2030043136,0.000000592176086646466,1542.83278336
4,eil51 ,51,5856931315395330048,2.04998477076892e-16,4451267799700.45
5,berlin52 ,52,12177733392409821184,9.85936348999349e-17,9255077378231.46
6,kroA100 ,100,1.26765060022823e+34,9.46824779465183e-32,9634144561734543432020602642
7,kroD100 ,100,1.26765060022823e+34,9.46818468577941e-32,9634144561734543432020602642
8,ch150 ,150,3.21130730858841e+49,3.73717269845325e-47,2.44059355452719e+43
9,gr202 ,202,2.62277999831775e+65,4.57556867434449e-63,1.99331279872149e+59
10,gr229 ,229,4.52418100215055e+73,2.65256407608262e-71,3.43837756163442e+67
11,pcb442 ,442,2.21872063333261e+138,5.4093696248602e-136,1.68622768133278e+132
12,d493 ,493,6.21558057701992e+153,1.93100867268534e-151,4.72384123853514e+147
13,dsj1000 ,1000,1.07150860718627e+307,1.12133770269484e-304,8.14346541461563e+300
