GRAPH, WEIGHT_2, TIME_2, WEIGHT_CHEAP, TIME_CHEAP
berlin52 , 10402 , 0.0005227 , 11811 , 0.000573
burma14 , 3985 , 6.88e-05 , 4187 , 2.82e-05
ch150 , 9315 , 0.0013377 , 9708 , 0.0136579
d493 , 45334 , 0.0165231 , 45075 , 0.592551
dsj1000 , 2.5526e+07 , 0.0469776 , 2.83414e+07 , 5.42007
eil51 , 605 , 0.0001886 , 569 , 0.0005293
gr202 , 52365 , 0.0021543 , 51382 , 0.0310041
gr229 , 178958 , 0.0026464 , 176661 , 0.0454078
kroA100 , 30516 , 0.0006408 , 30359 , 0.0037552
kroD100 , 28599 , 0.0005968 , 29264 , 0.0038043
pcb442 , 71264 , 0.0096317 , 69157 , 0.355542
ulysses16 , 7766 , 3.84e-05 , 8254 , 2.49e-05
ulysses22 , 8279 , 5.88e-05 , 7855 , 5.55e-05
